GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
test2,com.mycorp.support,ValueCode,17,0,0,0,7,0,5,0,5,0
test2,com.mycorp.support,Ticket,3,0,0,0,1,0,1,0,1,0
test2,com.mycorp.support,Poliza,118,0,4,0,40,0,26,0,24,0
test2,com.mycorp.support,CorreoElectronico,127,0,8,0,25,0,9,0,5,0
test2,com.mycorp.support,DatosCliente,395,0,0,0,169,0,113,0,113,0
test2,com.mycorp.support,DatosEnvioMail,123,0,4,0,49,0,33,0,31,0
test2,com.mycorp.support,FicheroAdjunto,18,0,0,0,7,0,5,0,5,0
test2,com.mycorp.support,PolizaBasicoFromPolizaBuilder,58,0,6,0,12,0,6,0,3,0
test2,com.mycorp,Zendesk,129,0,14,0,25,0,11,0,4,0
test2,com.mycorp,ZendeskBuilder,86,0,6,0,23,0,8,0,5,0
test2,com.mycorp,ZendeskLogger,108,0,10,0,16,0,8,0,3,0
test2,com.mycorp,ZendeskService,581,0,26,0,97,0,19,0,5,0
test2,com.mycorp,ZendeskFactory,88,0,2,0,21,0,7,0,6,0
test2,com.mycorp,ZendeskException,16,0,0,0,8,0,4,0,4,0
test2,com.mycorp,ZendeskUtils,35,0,2,0,9,0,4,0,3,0
test2,com.mycorp,BasicAsyncCompletionHandler,95,0,10,0,19,0,8,0,3,0
test2,com.mycorp,ZendeskHelper,30,0,2,0,9,0,3,0,2,0
test2,com.mycorp,ZendeskAsyncCompletionHandler,15,0,2,0,5,0,3,0,2,0
